"","Trials.thisN","condition","blurr_confirm.rt","Press","Whenpress","Curiosity.response","Confidence.response","Surprise.response","ParticipantID","normal_confidence","normal_curiosity","normal_surprise"
"33",0,1,0.24060873338,1,5,6,3,4,7,-1.69955853603946,1.96276558195864,0.984304514513565
"51",2,1,0.751941331662,1,12,3,9,1,7,0.441409448706982,0.164303906182059,-0.669817180000932
"74",4,1,0.284158392169,1,6,5,3,5,7,-1.69955853603946,1.36327835669978,1.53567841268506
"81",5,1,0.173331990722,1,11,5,5,2,7,-0.985902541123977,1.36327835669978,-0.118443281829433
"93",6,10,0.0873648747802,1,5,3,8,2,7,0.0845814512492421,0.164303906182059,-0.118443281829433
"99",7,1,0.672487532836,1,7,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"116",9,1,0.402839549526,1,2,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"130",11,1,0.507966371835,1,3,5,6,2,7,-0.629074543666237,1.36327835669978,-0.118443281829433
"134",12,1,0.938374708581,1,3,4,6,2,7,-0.629074543666237,0.763791131440921,-0.118443281829433
"138",13,1,0.76927183423,1,4,4,7,6,7,-0.272246546208498,0.763791131440921,2.08705231085656
"143",14,1,0.903118418704,1,10,6,2,5,7,-2.0563865334972,1.96276558195864,1.53567841268506
"154",15,1,0.394975236268,1,5,5,7,5,7,-0.272246546208498,1.36327835669978,1.53567841268506
"160",16,1,0.670201625442,1,2,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"163",17,1,0.235788769496,1,13,4,7,2,7,-0.272246546208498,0.763791131440921,-0.118443281829433
"184",19,1,0.538850526849,1,13,5,4,1,7,-1.34273053858172,1.36327835669978,-0.669817180000932
"211",21,9,0.858088739798,1,8,5,3,6,7,-1.69955853603946,1.36327835669978,2.08705231085656
"220",22,1,0.219883332378,1,8,3,9,1,7,0.441409448706982,0.164303906182059,-0.669817180000932
"235",24,8,0.0212677791715,1,2,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"243",26,1,0.0287095221574,1,10,5,4,2,7,-1.34273053858172,1.36327835669978,-0.118443281829433
"254",27,1,0.367263430613,1,8,4,9,3,7,0.441409448706982,0.763791131440921,0.432930616342066
"263",28,2,0.130284432787,1,2,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"266",29,1,0,0,0,6,7,1,7,-0.272246546208498,1.96276558195864,-0.669817180000932
"282",30,1,0.82868665288,1,13,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"296",31,1,0.633027385164,1,3,1,9,1,7,0.441409448706982,-1.03467054433567,-0.669817180000932
"300",32,1,0.912112203019,1,11,4,7,5,7,-0.272246546208498,0.763791131440921,1.53567841268506
"321",34,1,0.771351917763,1,10,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"332",35,1,0.830710757757,1,11,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
